Temperature,L,R,A_M,Color,Spectral_Class,Type
3523,957,129,1635,Red,M,0
3462,53,148,1147,Red,M,0
3257,24,46,1073,Red,M,0
2994,72,28,1345,Red,M,0
3212,16,378,12854,Red,M,0
3523,54,319,1243,Red,M,0
3598,27,67,13667,Red,M,0
3142,132,258,1412,Red,M,0
3496,125,336,1494,Red,M,0
3324,65,471,1278,Red,M,0
3463,27,675,14776,Red,M,0
16790,14,121,1287,Blue,B,0
15680,122,114,1192,Blue,B,0
14982,118,113,1223,Blue,B,0
13340,109,116,129,Blue,B,0
18340,134,124,1122,Blue,B,0
19920,156,142,1134,Blue,B,0
24020,159,127,1055,Blue,B,0
23092,132,104,1018,Blue,B,0
17920,111,106,1166,Blue,B,0
19360,125,998,1162,Blue,B,0
22350,12450,636,-367,Blue-white,B,1
10012,552,5856,13,Blue-white,A,1
13089,788,5992,-12,Blue-white,A,1
22012,6748,664,-255,Blue-white,B,1
34190,198200,639,-457,Blue,O,1
32460,173800,6237,-436,Blue,O,1
9320,29,191,1236,Blue-white,A,1
19400,10920,603,-308,Blue-white,B,1
17140,883,5653,-264,Blue-white,B,1
8250,925,193,-98,yellow-white,F,1
23678,244290,35,-627,Blue,O,1
12749,332520,76,-702,Blue,O,1
9383,342940,98,-698,Blue,O,1
23440,537430,81,-5975,Blue,O,1
16787,246730,62,-635,Blue,O,1
18734,224780,46,-745,Blue,O,1
9892,593900,80,-7262,Blue,O,1
10930,783930,25,-6224,Blue,O,1
23095,347820,86,-5905,Blue,O,1
21738,748890,92,-7346,Blue,O,1
24145,382993,1494,-884,Blue-white,B,1
38234,272830,1356,-929,Blue,O,1
32489,648430,19485,-1084,Blue,O,1
27739,849420,1252,-759,Blue-white,B,1
21904,748490,1130,-767,Blue-white,B,1
38940,374830,1356,-993,Blue,O,1
30839,834042,1194,-1063,Blue,O,1
8829,537493,1423,-1073,White,A,1
9235,404940,1112,-1123,White,A,1
37882,294903,1783,-78,Blue,O,1
